X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.252015931409588,39.97319403383235,176,126512850,7511,3302,Philadelphia Harambee Institute Charter School,Harambee CS,638-40 N 66th Street,19151,215-472-8770,Open,Elem/Middle,K-8,545,Charter,Charter
-75.156777665635673,40.056241751047025,177,126510003,7723,3363,Hope Charter School,Hope CS,2116 E Haines Street,19138,267-336-2730,Open,High School,9-12,487,Charter,Charter
-75.215567023900761,39.973249152697235,178,126513380,7639,3337,Global Leadership Academy Charter School,Global Leadership Acad CS,4601 W Girard Ave,19131,215-477-6672,Open,Elem/Middle,K-8,722,Charter,Charter
-75.231468594535059,39.987856537955892,179,,,3327,Laboratory Charter School of Communications/Design (Annex),Laboratory CS of Comm/Design (Annex),5339 Lebanon Ave,19131,215-877-9880,Open,Elem/Middle,2-8,,Charter,Charter
-75.094436257136309,40.005613649922473,180,126513480,7672,3332,Mariana Bracetti Academy Charter School,Mariana Bracetti Acad CS,1840 Torresdale Avenue,19124,215-291-4436,Open,Middle/High,6-12,1200,Charter,Charter
-75.233292825534249,40.043146148755625,181,126510005,7748,3365,Green Woods Charter School,Green Woods CS,468 Domino Lane,19128,215-482-6337,Relocating: Fall 2013,Elem/Middle,K-8,466,Charter,Charter
-75.165075651303212,39.950686789504651,182,126510009,7737,3358,Philadelphia Electrical and Technology Charter School ,Phila Electrical & Tech CS,1420-22 Chestnut St,19102,267-514-1823,Open,High School,9-12,575,Charter,Charter
-75.1654460682158,39.979821121359485,183,126512990,7543,3315,Alliance  for Progress Charter School,Alliance CS,1821-39 Cecil B. Moore Avenue,19121,215-232-4892,Open,Elem/Middle,K-8,432,Charter,Charter
-75.233436448021578,39.951647677438928,184,185515523,7981,3388,Boy's Latin of Philadelphia,Boy's Latin of Phila,5501 Cedar Ave,19143,215-387-5149,Open,High School,9-12,664,Charter,Charter
-75.130735963430169,40.013465892037466,185,104510394,8031,3395,Antonia Pantoja Charter School,Antonia Pantoja CS,4101 N American St,19140,215-329-2733,Open,Elem/Middle,K-8,721,Charter,Charter
-75.067576781204409,40.00793322901314,186,126510014,7777,3366,Maritime Academy Charter School,Maritime Acad CS,2275 Bridge St,19137,215-535-4555,Open,Middle/High,3-12,780,Charter,Charter
-75.243043760657173,39.988180899726977,187,,,3377,Laboratory Charter School of Communications/Design (Annex),Laboratory CS of Comm/Design (Annex),5901 Woodbine Ave,19131,215-452-5580,Open,Elementary School,K-1,,Charter,Charter
-75.008658781328762,40.101495981242458,188,126513280,7587,3322,Philadelphia Academy Charter School ,Phila Acad CS,11000 Roosevelt Boulevard,19116,215-676-8320,Open,Elem/Middle,K-8,1180,Charter,Charter
-75.158654617062751,39.938608223051503,189,,,3369,Christopher Columbus Charter School (Annex),Christopher Columbus CS (Annex),916 Christian St,19147,215-925-7400,Open,Elementary School,K-5,,Charter,Charter
-75.14713201761019,39.949452658045509,190,126510002,7678,3361,Mastery Charter High School,Mastery CHS,35 S. 4th Street,19106,215-922-1902,Open,Middle/High,7-12,561,Charter,Charter
-75.171434994323917,39.917979094904879,191,126513400,7647,3336,Philadelphia Performing Arts Charter School ,Phila Performing Arts Charter School ,2600 S. Broad St,19145,215-551-4000,Open,Elem/Middle/High,K-12,1417,Charter,Charter
-75.088097444675924,40.009579476117423,192,114514135,8083,3399,Sankofa Freedom Academy Charter School,Sankofa Freedom Acad CS,4256 Paul St,19124,215-288-2001,Open,Elem/Mid/High,K-12,591,Charter,Charter
-75.04526766438849,40.021755150352817,193,182514568,7979,3389,Keystone Academy Charter School,Keystone Academy Charter School,6649 Tulip Street,19135,215-332-2111,Open,Elem/Middle,K-8,492,Charter,Charter
-75.091087743990812,40.011831860362911,194,,,3387,Sankofa Freedom Academy Charter School (Annex),Sankofa Freedom Academy Charter Annex,4290 Penn St,19124,215-543-9980,Open,Elem/Middle,K-8,,Charter,Charter
-75.218533677806903,39.928393423213947,195,126510008,7684,3359,Richard Allen Preparatory,Richard Allen Prep,2601 S 58th St,19143,215-878-1544,Open,Middle School,5-8,523,Charter,Charter
-75.180876073724505,40.031889158956204,196,151514721,7961,3393,Mastery Charter School at Pickett,Mastery/ CS at Pickett,5700 Wayne Ave.,19144,215-866-9000,Open,Middle/High,6-12,544,Charter,Charter
-75.214052806391422,39.977218467019952,197,126510011,7775,3372,Discovery Charter School,Discovery CS,4700 Parkside Ave,19131,215-879-8182,Open,Elem/Middle,K-8,760,Charter,Charter
